user	clicked_news	candidate_news	clicked
1	N42920 N101461 N26044 N95439 N67936 N91580 N55749 N128737 N128737 N213 N63787 N13301 N71068 N67386 N96968 N49927 N84642 N76155 N101423 N100063 N126736 N137 N55064 N37407 N64862 N129226 N35800 N96533 N21880 N50441 N2134 N100262 N87616 N46168 N30069 N84142 N62704 N108270 N100832 N56912 N97875 N52599 N104737 N54618 N13912 N28005 N74745 N48606 N19058 N118806 N101619 N67051 N20072 N71092 N51804 N5429 N29382 N17697 N87236 N78086 N17787 N1960 N11952 N63240	N71726 N77421 N34086 N129501 N116904	1 0 0 0 0
2	N118027 N33543 N58808 N114493 N130283 N137 N110613 N109848 N27348 N74080 N128688 N23868 N108769	N76363 N91521 N60622 N39610 N45124	1 0 0 0 0
3	N51082 N102643 N88075 N59447 N78130 N76823 N26745 N83462 N19175 N24446 N10917 N12070 N20428 N12445 N116442 N14205 N37271 N82045 N74996 N48114 N41702 N122784 N64450 N45529 N26986 N95088 N114616 N83623 N92073 N45234 N71843 N41525 N18720 N118153 N20749 N71843 N76141 N64300 N1886 N122427 N79026 N10490 N15167 N47589 N95250 N58220 N97080 N32253 N121652 N112615 N81058 N111058 N45543 N31193 N86409 N97020 N109512 N12893 N36704	N25492 N7041 N79990 N59303 N10470	1 0 0 0 0
4	N92279 N82600 N58536 N88983 N53796 N88765 N127821 N27038 N123189 N112765 N93082 N26421 N51509 N4152 N86567 N126990 N36953 N12959 N62229 N74317 N36761 N47238 N80170 N70080 N110755 N6983 N89171 N48971 N77155 N2401 N9740 N124109 N128643 N14696 N114598 N33543 N12194 N118949 N42703 N84362 N92877 N66231 N128965 N64765 N124678 N31043 N98596 N9594 N129097 N37069 N51171 N9375 N53584 N31860 N59738 N112196 N52231 N95072 N92144 N95942 N115066 N130269 N58167 N126521 N90718 N15471 N454 N14240 N66877 N78831 N72432 N84904 N80686 N127916 N36246 N42209 N73122 N78998 N111794 N76183 N74980 N57590 N116801 N26206 N49347 N108284 N62401 N106288 N738 N51724 N121168 N7391 N13604 N67348 N88769 N27107 N39882 N95831 N119708 N125141 N43130 N28222 N34362 N82348 N129412 N31304 N65757 N54948 N4289 N59632 N111503 N62446 N69936 N67133 N27352 N116152 N95158 N111689 N126836 N91985 N102876 N51893 N117592 N79285 N66190 N29673 N119056 N98164 N88892 N6793 N8654 N59343 N24786 N48426 N58843 N123480 N57945 N78180 N117035 N110271 N73408 N76083 N83929 N37617 N34479 N3948 N105117 N94450 N71665 N101271 N86264 N7485 N37407 N77566 N84336 N84336 N99586 N92066 N102635 N29466 N5674 N36573 N4854 N107766 N33079 N19344 N84406 N71935 N73963 N66350 N68431 N63468 N122762 N1637 N54380 N118005 N33624 N50441 N79909 N77734 N56912 N94492 N73302 N119674 N112642 N21239 N104737 N72976 N30152 N15007 N79781 N19624 N8373 N81921 N74324 N102152 N12445 N61321 N78026 N80062 N74723 N128483 N49962 N83356 N8399 N71753 N1886 N26745 N82355 N54893 N108701 N86231 N1960 N59936 N82891 N68940 N57797 N114787 N34516 N83062 N127966 N37530 N112447 N87913 N118957 N65783	N104437 N25492 N10470 N98657 N104610	1 0 0 0 0
1	N42920 N101461 N26044 N95439 N67936 N91580 N55749 N128737 N128737 N213 N63787 N13301 N71068 N67386 N96968 N49927 N84642 N76155 N101423 N100063 N126736 N137 N55064 N37407 N64862 N129226 N35800 N96533 N21880 N50441 N2134 N100262 N87616 N46168 N30069 N84142 N62704 N108270 N100832 N56912 N97875 N52599 N104737 N54618 N13912 N28005 N74745 N48606 N19058 N118806 N101619 N67051 N20072 N71092 N51804 N5429 N29382 N17697 N87236 N78086 N17787 N1960 N11952 N63240	N82850 N101083 N7416 N129501 N46367	1 0 0 0 0
5	N75836 N85278 N30502 N100851 N77826 N54893 N50653 N114787 N41709	N158 N32209 N95525 N37460 N94112	1 0 0 0 0
6	N105630 N19347 N115019 N29315 N71496 N110755 N47900 N26834 N96764 N104938 N127567 N9524 N111348 N73122 N17746 N90686 N29153 N39375 N55714 N49839 N82348 N95420 N22273 N79285 N81080 N61928 N121168 N115359 N807 N88893 N114848 N80027 N7553 N50441 N79704 N9690 N43402 N112751 N34468 N88787 N73845 N6696 N97578 N91597 N81921 N72868 N124330 N121820 N102152 N19175 N84403 N13865 N88348 N8995 N23929 N75714 N5326 N1886 N29131 N1713 N101119	N119284 N32209 N79990 N98657 N111550	1 0 0 0 0
7	N41484 N56381 N104299 N88765 N94249 N39081 N10355 N96998 N96120 N36761 N32369 N103851 N69362 N42825 N16208 N21689 N104805 N109833 N59893 N28876 N3567 N128965 N47233 N59630 N5243 N57782 N100201 N105990 N12139 N91231 N63260 N38556 N121012 N69599 N31266 N104760 N5163 N69977 N77935 N112324 N46786 N96436 N82845 N97713 N124941 N116768 N2141 N40401 N80359 N38061 N127392 N56087 N102417 N67124 N129625 N28921 N65411 N59111 N119177 N67410 N7711 N114130 N107876 N5122 N50086 N44753 N95184 N21707 N113417 N13604 N71728 N69442 N81982 N105154 N129987 N59828 N127644 N59520 N44960 N77742 N102285 N10737 N100182 N64642 N89612 N111503 N94655 N80399 N67133 N93895 N127380 N94737 N115158 N116781 N71529 N93049 N84061 N16070 N100091 N47046 N31344 N21550 N57583 N35440 N55064 N66350 N108548 N73963 N85587 N5674 N106036 N97161 N47142 N50441 N62 N85355 N21312 N118005 N43418 N61385 N33286 N102355 N91199 N114568 N100033 N122742 N10828 N106739 N128159 N896 N62704 N73202 N124194 N76305 N78179 N55867 N93987 N82243 N115087 N16356 N122596 N86761 N103107 N101578 N6139 N57217 N110092 N93987 N42284 N129046 N49796 N130208 N19624 N88421 N67698 N24446 N24280 N83042 N4687 N67051 N118189 N13952 N71753 N41176 N125820 N64492 N74205 N64926 N111504 N92244 N75836 N77135 N85278 N104558 N85100 N87186 N66752 N22677 N100519 N80506 N106889 N5429 N2743 N47967 N39317 N104494 N59960 N87781 N79926 N21010 N103432 N113908 N74186 N47797 N10015 N119536 N86409 N30791 N101119 N91556	N95605 N101083 N36428 N64544 N46367	1 0 0 0 0
8	N79724 N30267 N120860 N66107 N48606 N18956	N65783 N31855 N59646 N39109 N110521	1 0 0 0 0
9	N7154 N104299 N105630 N46903 N92279 N123189 N104081 N47349 N122729 N26421 N60853 N128643 N116695 N16894 N24738 N47323 N35362 N96486 N119367 N88290 N110630 N47639 N43826 N21244 N130269 N50489 N16463 N454 N5305 N45706 N126328 N107215 N63011 N72505 N127631 N19557 N125282 N54042 N49623 N17987 N11663 N114735 N34389 N8676 N121394 N54723 N55635 N7992 N71068 N62880 N49262 N99962 N112665 N26621 N86006 N31304 N129412 N25463 N95420 N98573 N58318 N67133 N73505 N68426 N18399 N43358 N79746 N102399 N81080 N122167 N79724 N23898 N104927 N9473 N3948 N93049 N60132 N124506 N122671 N68960 N36573 N36573 N77566 N73963 N84406 N22642 N129836 N64159 N121964 N56204 N129892 N66350 N80027 N61712 N34519 N72590 N6846 N21880 N114335 N63174 N118005 N18389 N28812 N58112 N51431 N84454 N104737 N82746 N98095 N100670 N71912 N24446 N12070 N108312 N45529 N41702 N78130 N107191 N85063 N67911 N96539 N95088 N59033 N93636 N81364 N85924 N79026 N51804 N120854 N120031 N5653 N71022 N40765 N40009 N58220 N126027 N43087 N101806 N78008 N94230 N82055 N84433 N108063 N94901 N115695 N29760 N50536 N25492 N107862 N50831 N7041	N95605 N27933 N18956 N92613 N85504	1 0 0 0 0
10	N51544 N84016 N128643 N118365 N10721 N19864 N112729 N20131 N127916 N35599 N98330 N98389 N67348 N93497 N84959 N82348 N114460 N125141 N117228 N93049 N73408 N5068 N81449 N50441 N81188 N58653 N104737 N61187 N19537 N119674 N121973 N37322 N37013 N51864 N73137 N41709 N82055 N50831 N40093 N104437	N103397 N37460 N111550 N118589 N2198	1 0 0 0 0
11	N85484 N124453 N8390 N98238 N98238 N40401 N3613 N16490 N45225 N122915 N88769 N88769 N121560 N97682 N56272 N18399 N123743 N35755 N86153 N53134 N104029 N50441 N117074 N20756 N94774 N35099 N70655 N14205 N24129 N73228	N48503 N117951 N23804 N12406 N22436	1 0 0 0 0
12	N107341 N42825 N119785 N78650 N31497 N61319 N40850 N53605 N80686 N105205 N116183 N94313 N128313 N84662 N117948 N24885 N13807 N48167 N111415 N86006 N95972 N50012 N12575 N54177 N68440 N62480 N79751 N122762 N108002 N29466 N63174 N89408 N107394 N110825 N104737 N121550 N72105 N18966 N25082 N114571 N84730 N128483 N12288 N6455 N19172 N14551 N104430	N27933 N130031 N75842 N103397 N4858	1 0 0 0 0
1	N42920 N101461 N26044 N95439 N67936 N91580 N55749 N128737 N128737 N213 N63787 N13301 N71068 N67386 N96968 N49927 N84642 N76155 N101423 N100063 N126736 N137 N55064 N37407 N64862 N129226 N35800 N96533 N21880 N50441 N2134 N100262 N87616 N46168 N30069 N84142 N62704 N108270 N100832 N56912 N97875 N52599 N104737 N54618 N13912 N28005 N74745 N48606 N19058 N118806 N101619 N67051 N20072 N71092 N51804 N5429 N29382 N17697 N87236 N78086 N17787 N1960 N11952 N63240	N105971 N46367 N90042 N57630 N34086	1 0 0 0 0
13	N106346 N59861 N71496 N70135 N38884 N119204 N125681 N67715 N67790 N2641 N22091 N47240 N63067 N8869 N116068 N79938 N60001 N112041 N107452 N120098 N125391 N73408 N4012 N23091 N30299 N30299 N116999 N129836 N79909 N106403 N120514 N11841 N31079 N116442 N41926 N64926 N51266 N83356 N47534 N91968 N1886 N59033 N18904 N78548 N58227 N47589 N106915 N81058 N19729	N14848 N1142 N93672 N3426 N36428	1 0 0 0 0
14	N36485 N7742 N98062 N98062 N26806 N77869 N77869 N44364 N1792 N44364 N121551 N1526 N83045 N127460 N5106 N123948 N119369 N119772 N3708 N88593 N104609 N127773 N86314 N39117 N27663 N73122 N55318 N23752 N116750 N30827 N110068 N111654 N101276 N2105 N49337 N37988 N56292 N5281 N51193 N67133 N106025 N37553 N62529 N32890 N48505 N48804 N38713 N100938 N121213 N64858 N87194 N62104 N27948 N33017 N13912 N23717 N54978 N109848 N59998 N54810 N25290 N67059 N65249 N80305 N112115 N25624 N9790 N9790 N18063 N68502 N38213 N112270 N104036 N31486	N63977 N108769 N39610 N4206 N60622	1 0 0 0 0
15	N71340 N67770 N79170 N49511 N98164 N127225 N44781 N104737 N75932 N74014 N5326 N124630 N70848	N103397 N128181 N31323 N31766 N95605	1 0 0 0 0
16	N27038 N90743 N63723 N90185 N23907 N57676 N18389 N9740 N31043 N113273 N81475 N9375 N85659 N85624 N94738 N93363 N46069 N116367 N70069 N57590 N32221 N34016 N51724 N71728 N88769 N49262 N43428 N66812 N8223 N30388 N76292 N84961 N34094 N127177 N40037 N54948 N86008 N47500 N69936 N72579 N73630 N25197 N25197 N25197 N63490 N100033 N50441 N71922 N54380 N82513 N63323 N12350 N89631 N25140 N13872 N124851 N121418 N121418 N48926 N4066 N13865 N83623 N61321 N128483 N82365 N11946 N44260 N94336 N5653 N21961 N5542 N29315 N117401 N58220 N1960 N59936 N117401 N123548 N51864 N112334 N7084 N21416 N124860 N55764 N95066 N120643 N42971	N65783 N92613 N9935 N86149 N103397	1 0 0 0 0
16	N27038 N90743 N63723 N90185 N23907 N57676 N18389 N9740 N31043 N113273 N81475 N9375 N85659 N85624 N94738 N93363 N46069 N116367 N70069 N57590 N32221 N34016 N51724 N71728 N88769 N49262 N43428 N66812 N8223 N30388 N76292 N84961 N34094 N127177 N40037 N54948 N86008 N47500 N69936 N72579 N73630 N25197 N25197 N25197 N63490 N100033 N50441 N71922 N54380 N82513 N63323 N12350 N89631 N25140 N13872 N124851 N121418 N121418 N48926 N4066 N13865 N83623 N61321 N128483 N82365 N11946 N44260 N94336 N5653 N21961 N5542 N29315 N117401 N58220 N1960 N59936 N117401 N123548 N51864 N112334 N7084 N21416 N124860 N55764 N95066 N120643 N42971	N37460 N121426 N86149 N79990 N76810	1 0 0 0 0
17	N37266 N79304 N97757 N67489 N102339 N35411 N63032 N67489 N63032 N88258 N38098 N3960 N118733 N95178 N49828 N88765 N56620 N57964 N24811 N8541 N111913 N105139 N76561 N84063 N51394 N63472 N47238 N120060 N69362 N33154 N72174 N62924 N67777 N77155 N30249 N59633 N77869 N62936 N14989 N26115 N129790 N107954 N83402 N106943 N31493 N81732 N81732 N116968 N78057 N27685 N78799 N121867 N33476 N44656 N127920 N72802 N6535 N5354 N117682 N34684 N76171 N97089 N67055 N113086 N101377 N89095 N2141 N15471 N77271 N72571 N16151 N108742 N88981 N93363 N66860 N90686 N117680 N37650 N29941 N6195 N76970 N6195 N44759 N86235 N15155 N127911 N37206 N52736 N81937 N35005 N106708 N121794 N39835 N1396 N114735 N6589 N126834 N121191 N1396 N104997 N35249 N82099 N77370 N32220 N3290 N32925 N30405 N63295 N117948 N119757 N3290 N28921 N10869 N19684 N40112 N34016 N107151 N105205 N120773 N115701 N110836 N89892 N89892 N89892 N13604 N120859 N53215 N71728 N120859 N113050 N77079 N43511 N125141 N40624 N69792 N127644 N10097 N31424 N48167 N40037 N43527 N94655 N67133 N53923 N50012 N36826 N114926 N51893 N38797 N50614 N44660 N51893 N128648 N39395 N79285 N116438 N65019 N48890 N23898 N73616 N94004 N46994 N82158 N108752 N126607 N34366 N83929 N60243 N100091 N46123 N97943 N2965 N36585 N16070 N36585 N6666 N62480 N119660 N122561 N87142 N57583 N25465 N61120 N63174 N91785 N102399 N102635 N71227 N31325 N67133 N73306 N45124 N102399 N45124 N37706 N129881 N7346 N46116 N32031 N29466 N130068 N57583 N74643 N112907 N122570 N78408 N68431 N121125 N9892 N123951 N63174 N55064 N79986 N64012 N114848 N118005 N21312 N118005 N112740 N25166 N43418 N27881 N127452 N79283 N63174 N77216 N115073 N89408 N110560 N97161 N65494 N74704 N77734 N10996 N111585 N124194 N65876 N120268 N94492 N83548 N5039 N82468 N16356 N113556 N19325 N113858 N71977 N76694 N113858 N112003 N7229 N52044 N51137 N107516 N86394 N28645 N56992 N25082 N294 N118081 N42284 N73845 N92048 N97387 N126112 N85544 N14631 N24129 N92048 N74324 N25388 N119983 N95116 N100670 N112205 N82045 N14887 N114752 N84730 N94244 N60812 N121418 N96539 N85924 N29648 N107191 N83548 N82045 N26986 N29430 N48111 N29462 N29462 N22773 N93334 N33735 N116617 N50428 N59033 N51701 N15491 N22543 N24355 N1713 N98691 N22633 N21122 N72712 N8255 N108810 N112687 N80421 N31494 N43009 N31494 N108518 N108518 N108518 N60510 N59344 N60510 N39359 N2670 N75342 N119536 N94112 N127001 N15174 N118061 N8006 N41106 N38254 N76810 N109238 N78377 N31055 N37509 N79081 N121878 N105971 N84980	N12388 N75842 N76042 N104610 N85958	1 0 0 0 0
18	N30249 N13647 N127175 N124051 N77283 N32067 N1396 N80788 N121884 N89872 N67770 N67397 N62304 N90686 N113471 N33446 N34684 N66574 N7499 N119177 N33191 N45225 N74441 N119800 N23117 N116068 N71728 N6799 N105205 N129651 N57353 N32534 N45124 N109736 N97753 N117662 N79285 N18399 N20631 N79724 N46656 N45124 N120616 N29466 N71935 N3113 N96533 N45124 N35108 N117295 N121704 N106403 N17537 N81373 N14504 N73169 N45124 N11841 N117891 N45124 N47862 N65124 N48946 N24280 N11643 N70533 N128141 N74723 N22904 N3529 N48114 N123574 N45124 N97552 N35012 N52155 N28461 N77135 N119731 N3472 N111281 N95066 N110258 N57778 N45124	N92232 N103105 N85958 N120612 N79990	1 0 0 0 0
19	N88765 N27258 N14639 N54533 N26421 N20311 N45202 N26586 N94639 N824 N62401 N51302 N1396 N105154 N83529 N88892 N93049 N18787 N24476 N73963 N12614 N79986 N45124 N40009 N14551 N107014 N56221 N28468 N51695	N65783 N76810 N118589 N18956 N85958	1 0 0 0 0
20	N36585 N1313 N121704 N121820 N52677 N89289 N58200 N87236 N3786 N41709	N79575 N34256 N4858 N104437 N85504	1 0 0 0 0
21	N32197 N62939 N107675 N118998 N54656 N87958 N17520 N63723 N34875 N118503 N76561 N22582 N53953 N80596 N129978 N47238 N98935 N69362 N57176 N83402 N129272 N26256 N115584 N128930 N97720 N106692 N85950 N83200 N100847 N19440 N33446 N47587 N95093 N7603 N5163 N105493 N77935 N115804 N82941 N39625 N121088 N68718 N94738 N24059 N117680 N35229 N123623 N77709 N103862 N71168 N8963 N83802 N93328 N130086 N98330 N111134 N13423 N79360 N79360 N112148 N87692 N19684 N95756 N74878 N88300 N120773 N124239 N27706 N40013 N71911 N17028 N25363 N50645 N29807 N5524 N93049 N69696 N97 N45480 N92805 N21880 N6486 N38964 N72976 N54978 N66294 N72221 N80305 N25388 N97302 N49889 N128644 N119505 N92244 N125960 N85103 N40765 N18923 N56001 N52964 N42661 N14340 N82649 N32189 N27763 N118289 N96818 N59280 N126162 N101083	N27040 N92498 N96443 N116628 N104107	1 0 0 0 0
22	N40446 N57532 N6549 N71723 N35797 N71586 N22421 N65259 N89872 N26834 N106591 N85484 N128965 N100405 N55903 N23742 N87105 N95072 N112324 N118683 N43826 N85056 N75756 N94295 N72571 N49215 N13661 N36246 N16463 N118210 N33329 N86320 N32245 N83253 N37469 N5381 N124532 N1940 N15899 N93237 N51893 N79285 N2034 N61802 N31109 N71665 N25951 N126164 N44781 N73963 N94177 N129836 N129836 N59351 N86208 N118762 N59351 N48390 N9183 N104125 N100033 N54380 N92091 N64769 N9690 N2041 N54360 N104091 N117074 N8527 N112642 N104737 N110158 N112303 N58636 N71977 N72976 N103116 N40480 N77988 N55212 N41683 N13912 N81443 N70655 N71643 N128141 N40944 N117891 N23221 N102152 N93066 N26353 N61321 N108312 N128483 N71242 N40123 N1886 N74495 N59033 N12027 N18904 N20901 N1713 N120031 N40765 N52964 N40009 N47589 N126027 N115060 N70848 N114787 N116736 N110258 N67969 N46818 N36079	N30809 N65783 N32209 N86149 N59303	1 0 0 0 0
23	N76787 N129046 N45124 N110532 N2133 N15206 N87913 N67369	N81218 N76810 N31486 N25492 N118589	1 0 0 0 0
24	N122359 N128736 N122359 N71723 N7154 N71340 N116312 N16894 N7165 N58992 N25671 N112324 N72571 N50459 N58477 N60882 N77560 N86320 N62731 N123743 N109498 N46994 N35440 N119674 N73137	N65783 N76810 N32209 N118589 N111550	1 0 0 0 0
25	N16894 N63078 N4169 N71593 N51724 N93576 N56927 N82747 N124800 N68651 N17678 N33865	N104437 N65783 N85958 N6865 N2198	1 0 0 0 0
26	N119785 N96879 N67397 N33964 N90686 N58228 N55318 N55055 N6799 N15100 N80126 N83307 N79285 N14121 N17339 N50645 N67860 N49594 N50441 N31649 N108352 N47896 N73302 N117891 N124140 N116989 N108312 N45529 N88348 N66779 N58200 N73137 N10490 N83974 N67533 N11653	N53751 N10012 N85504 N14848 N65783	1 0 0 0 0
27	N58536 N32197 N38098 N50914 N111913 N128643 N96605 N40628 N119171 N31860 N3708 N56038 N71082 N111622 N15471 N14514 N109736 N27107 N121168 N34885 N77367 N111889 N4041 N7617 N125954 N69948 N54416 N116035 N47500 N114848 N114459 N125540 N83193 N53706 N113678 N89080 N93769 N19934 N19624 N31079 N4066 N83623 N129768 N21416 N37530 N80840 N67369	N31323 N50852 N31054 N31486 N104437	1 0 0 0 0
28	N107276 N49636 N108284 N84799 N70655 N108312 N126027 N92886 N158 N113328	N71726 N79081 N19134 N118589 N31766	1 0 0 0 0
29	N85659 N16249 N1788 N85428 N41143 N122773 N102508 N113678 N112751 N88075 N37820 N114571 N25140 N51229 N57221 N58200 N126742 N50536	N9935 N4215 N65783 N115958 N64021	1 0 0 0 0
30	N14678 N114931 N15819 N41484 N12721 N63723 N12959 N103896 N12721 N93082 N122047 N123633 N7165 N31043 N77440 N67770 N82799 N58477 N76970 N122766 N48257 N93328 N34059 N36716 N129207 N32534 N56927 N9329 N119710 N76664 N95420 N54948 N4289 N40228 N109498 N13466 N67133 N129083 N79285 N88892 N105840 N4641 N54177 N14035 N54953 N62480 N7485 N44781 N807 N93006 N29466 N128453 N71068 N127052 N118005 N110560 N25166 N15098 N104737 N6930 N71977 N54393 N11841 N58131 N72868 N97380 N50436 N114226 N66294 N88683 N41770 N77617 N5279 N17660 N128483 N126347 N66779 N121820 N112896 N64926 N20926 N50428 N35458 N86203 N26863 N86231 N79926 N106961 N20241 N82649 N127001 N22986 N113579 N25524 N55764 N28355 N37530 N14509 N127001 N86409 N108063 N90513 N76810 N27933 N104437	N43186 N111550 N103397 N118589 N6865	1 0 0 0 0
28	N107276 N49636 N108284 N84799 N70655 N108312 N126027 N92886 N158 N113328	N43186 N32209 N85958 N62595 N103397	1 0 0 0 0
31	N110755 N99676 N35060 N126052 N26935 N7998 N61319 N68771 N121551 N40628 N21710 N53197 N97823 N72802 N65119 N1128 N90578 N49079 N57050 N16463 N41544 N49155 N127916 N94104 N29446 N25818 N58992 N126045 N94705 N47182 N49803 N47182 N47182 N56261 N47182 N30675 N62034 N100169 N68906 N51230 N83719 N129406 N67055 N127014 N15128 N16426 N79746 N16170 N66447 N97461 N112932 N47513 N16587 N81774 N111606 N120806 N72976 N86394 N71977 N107516 N101934 N1815 N5697 N26573 N47935 N63364 N110521 N940 N104107 N45013	N35694 N45013 N104107 N5697 N25802	1 0 0 0 0
32	N116312 N64615 N8668 N128643 N104879 N26935 N31043 N9375 N104760 N72571 N73122 N74795 N127773 N113417 N105888 N88769 N26374 N49262 N94577 N3565 N82348 N4289 N40228 N18399 N44524 N16690 N6919 N65541 N92066 N79751 N54360 N28616 N6930 N104737 N110158 N6696 N86493 N18548 N36648 N82055 N86120 N123455	N103397 N118589 N65783 N62595 N43186	1 0 0 0 0
33	N27258 N90718 N90718 N42646 N6275 N16717 N121066 N82476 N128909 N92079 N80178 N96713 N17953 N104068 N50199 N58220	N92232 N25037 N32209 N56221 N43186	1 0 0 0 0
34	N63723 N19474 N29618 N109598 N109598 N36816 N49472 N111503 N40228 N118762 N102635 N52468 N92066 N38169 N118005 N22756 N120390 N15345 N45298 N66294 N109898 N48948 N128483 N3978 N29476 N29476 N52964 N76350	N48364 N2669 N92613 N118589 N118956	1 0 0 0 0
35	N99662 N81603 N84159 N102417 N46113 N122217 N7234 N88212 N71977 N48946 N58200 N85100 N15206 N109848	N37460 N130174 N10012 N86149 N3903	1 0 0 0 0
